Perbuatan pelanggar dinyatakan sebagai perbuatan tercela
Permintaan maaf secara lisan dan tertulis pada Sidang KKEP
Kewajiban Pelanggar untuk mengikuti pembinaan rohani, mental dan pengetahuan profesi
Mutasi demosi
Penundaan kenaikan pangkat
Penundaan pendidikan
PTDH
Patsus
Tidak Terbukti
